"url","name","locality","cuisine","price_per_person","overall_rating","food","service","ambiance","reviews","noise","dining_style"
"https://www.kayak.com/New-York-Restaurants-The-Perfect-Pint-West.100020337.rd.ksp","The Perfect Pint - West","Midtown","American","$30 and under","4.4","4.3","4.5","4.3","92","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-The-Perfect-Pint-East.100020338.rd.ksp","The Perfect Pint - East","Midtown","American","$30 and under","4.6","4.5","4.5","4.6","17","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Fonda-East-Village.100020343.rd.ksp","Fonda - East Village","East Village","Contemporary Mexican","$31 to $50","4.4","4.4","4.3","4.1","3308","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Pera-Soho.100020357.rd.ksp","Pera Soho","SoHo","Mediterranean","$31 to $50","4.4","4.3","4.2","4.5","222","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Gyu-Kaku-Midtown.100020366.rd.ksp","Gyu-Kaku - New York, NY | Midtown","Midtown","Japanese","$30 and under","4.7","4.7","4.5","4.4","292","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Gyu-Kaku-East-Village.100020369.rd.ksp","Gyu-Kaku - New York, NY | East Village","NoHo","Japanese","$30 and under","4.6","4.7","4.4","4.3","188","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-San-Marino-Soho.100020390.rd.ksp","San Marino Restaurant - Soho","Hudson Square","Italian","$31 to $50","4.6","4.5","4.8","4.3","16","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Ardesia-Wine-Bar.100020443.rd.ksp","Ardesia Wine Bar","Hell's Kitchen","American","$31 to $50","4.5","4.2","4.4","4.4","1262","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Sparks-Steak-House.100020507.rd.ksp","Sparks Steak House","Midtown","Steakhouse","$50 and over","4.6","4.6","4.6","4.6","429","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Fuji-Sushi.100020516.rd.ksp","Fuji Sushi","Midtown","Sushi","$30 and under","4.6","4.3","4.9","3.8","19","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Asuka-Sushi.100020520.rd.ksp","Asuka Sushi","Chelsea","Japanese","$30 and under","4.8","4.7","4.6","4.4","108","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Cervantes-Oyster-Shack.100020523.rd.ksp","Cervantes’ Oyster Shack & Bar","SoHo","Speakeasy","$30 and under","4.3","4.3","4.1","4.3","494","Moderate","Casual Dining"
